page_id,name,page_created,page_type,count,fb,wel_opens,wel_clicks,wel_acts,opens_14day,clicks_14day,acts_14day,num_donations_14day,amt_donations_14day,num_recur_14day,amt_recur_14day,usa,can,uk,aus,nz,nuk_eur,row,en,de,fr,acts_90day,num_donations_90day,amt_donations_90day
10810,ttip-cop21-french,2015-12-11 22:40:23,Petition,1398,407,910,495,461,1970,985,1354,"","","","",1,6,3,2,0,1348,38,97,0,1301,3156,6,39.32
10759,kitchenaid-trump-sponsorship,2015-12-08 22:58:28,Petition,1194,651,659,106,143,1378,213,490,"","","","",1142,10,13,2,2,12,13,1192,0,2,662,3,20.00
10754,ttip-stoppen-de,2015-12-08 13:44:53,Petition,1218,718,810,448,446,1378,788,1024,"","","","",3,1,0,4,0,1200,10,134,1084,0,1749,"",""
10745,cadbury,2015-12-07 10:56:59,Petition,1678,1142,819,191,284,1862,343,880,12,203.42,"","",14,4,1587,18,6,43,6,1677,0,1,1369,48,606.74
10734,tampax-roundup-french,2015-12-04 17:37:12,Petition,4999,2568,2965,1243,1132,6108,2262,3716,"","","","",17,431,23,4,0,4420,104,444,8,4547,7034,15,90.34
10704,iphone-headphone-jack,2015-12-01 23:55:03,Petition,57889,41140,41231,9013,7649,77495,13222,21521,103,771.48,4,38.38,19183,4524,7555,4378,676,15558,6015,57500,94,295,29370,516,4141.66
10690,planned-parenthood-nyt-bias,2015-12-01 00:04:31,Petition,415,104,225,50,63,467,98,320,"","","","",399,2,7,1,0,4,2,415,0,0,420,8,57.00
10660,paris_deniers,2015-11-25 20:00:05,Donation,155,2,103,27,38,216,48,218,181,2614.59,5,30.10,36,14,59,23,4,15,4,153,1,1,310,196,2866.61
10651,Indonesia-haze-palm-oil,2015-11-24 22:42:47,Petition,1711,979,1103,276,316,2066,488,1062,30,1064.32,"","",145,182,547,135,47,519,136,1679,10,22,1751,68,1556.06
10642,neonics-butterflies,2015-11-24 11:32:32,Petition,58,56,28,10,12,65,18,17,"","","","",1,0,48,0,0,8,1,58,0,0,26,"",""
10628,black-friday-amazon,2015-11-21 19:53:53,Donation,82,1,45,15,19,157,28,109,95,776.91,"","",0,0,81,0,0,1,0,82,0,0,154,104,853.71
10625,pattison-vs-prince-rupert,2015-11-21 01:22:39,Petition,2770,2730,1832,311,369,3580,596,582,"","","","",35,2709,6,6,2,4,8,2769,0,1,1070,10,120.45
10604,total-cop21,2015-11-19 16:37:07,Petition,1903,592,1246,728,697,3104,1309,1920,"","","","",6,36,13,1,2,1795,50,159,0,1744,3961,5,14.33
10603,transport-for-london-electronics-watch,2015-11-19 16:19:54,Petition,76,39,40,14,18,98,29,61,1,1.06,"","",2,1,68,0,0,4,1,76,0,0,82,3,12.55
10595,dailymail-refugee-cartoon,2015-11-19 04:27:23,Petition,8461,6110,4839,1040,1108,13558,2750,2712,39,456.31,"","",181,82,6991,145,48,825,189,8420,14,27,5373,241,2480.81
10592,tesco-poverty-wages,2015-11-18 23:53:19,Petition,252,248,78,8,11,263,20,28,"","","","",0,0,249,1,0,2,0,252,0,0,81,"",""
10588,huge-bee-breakthrough,2015-11-18 19:59:09,Donation,58,3,25,13,15,53,21,82,66,706.98,"","",22,1,3,12,6,14,0,58,0,0,101,71,763.39
10580,rtl-zemmour,2015-11-18 11:59:45,Petition,1654,860,978,367,351,2124,602,905,"","","","",5,10,2,0,0,1587,50,148,0,1506,1977,3,15.41
10570,gs-revolvingdoor,2015-11-17 17:27:08,Petition,55,25,17,6,8,30,13,35,"","","","",49,1,3,0,0,2,0,55,0,0,62,"",""
10562,EU-Kommission-erlaubt-Bienenkiller-de,2015-11-16 17:11:12,Petition,17935,10136,13272,7598,6742,23544,12267,14092,1,5.00,"","",39,5,18,10,8,17791,64,2394,15485,56,25084,13,115.91
10531,total-lobbyists-UN-climate-talks,2015-11-13 17:08:16,Petition,424,213,332,97,109,720,190,294,4,25.90,"","",20,45,129,37,18,154,21,413,3,8,576,25,328.24
10500,fb-biggest-fans,2015-11-12 13:58:47,Petition,576,576,256,38,94,434,55,106,"","","","",157,171,119,46,30,44,9,572,1,3,114,2,2.87
10491,big-oil-climate-change-investigation,2015-11-11 15:41:02,Petition,351,69,209,59,87,403,127,388,2,16.07,"","",90,52,11,45,21,96,36,345,1,5,605,19,331.13
10475,castorama-roundup,2015-11-10 11:42:37,Petition,1528,470,1038,610,562,2018,1082,1502,"","","","",0,6,0,1,0,1505,16,122,1,1405,3318,11,89.39
10472,Balsillie-TPP,2015-11-09 22:14:53,Petition,1894,1256,832,126,163,2697,411,966,16,101.40,"","",28,1836,6,2,0,10,12,1881,0,13,1615,30,325.93
10469,oregon-david-goliath-nestle,2015-11-09 21:32:46,Petition,1626,611,788,213,253,1976,457,1363,30,729.83,1,10.00,856,111,233,86,13,270,57,1608,9,9,1927,55,962.78
10464,Edeka-Lebensmittelverschwendung-de,2015-11-09 15:46:18,Petition,4847,3812,2395,1131,1050,5572,2505,2782,"","","","",15,1,14,7,1,4787,22,822,4020,5,5876,2,26.42
10435,tpp_text_released,2015-11-05 15:06:17,Donation,128,3,86,24,59,169,50,211,138,2461.31,"","",20,17,36,23,15,16,1,127,0,1,277,163,2815.23
10432,nestle-tierversuche-de,2015-11-05 13:07:25,Petition,2869,1894,1733,870,784,2815,1381,1916,"","","","",13,5,3,4,1,2834,9,302,2564,3,3543,2,49.71
10428,rbs-contact-your-mp,2015-11-04 23:42:08,Import,113,113,57,23,44,92,39,59,"","","","",0,0,113,0,0,0,0,113,0,0,146,5,47.86
10408,Alnatura-schikaniert-Mitarbeiter-de,2015-11-04 12:31:40,Petition,54,35,35,19,20,77,46,59,"","","","",0,0,0,0,0,54,0,5,49,0,113,"",""
